targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_fgk,parallax_snr
39627791599141428,main,bright,STAR,0,t,3266106544508983680,49.53027907198852,0.284757186361105,1.392200091086741,0.065989,0.9983531760485326,-4.619442400111186,16.552008,17.25945,15.740333,[-1.2335e-01  4.8647e-02         nan  4.5123e+03  4.6733e+00],-0.12335,0.048647,,4512.3,4.6733,K,21.097457016877673
39627636913209593,main,bright,STAR,0,t,3598588827705882624,177.49545226656224,-6.182507988229916,1.1195172438033578,0.053219,-8.568810931784881,2.408165202076812,16.430304,16.975016,15.742771,[-6.1268e-01  1.8225e-01  2.1735e-01  4.7749e+03  4.9037e+00],-0.61268,0.18225,0.21735,4774.9,4.9037,K,21.03604434136977
39627374999902010,main,bright,STAR,0,t,5096694654868863744,62.61451522240141,-17.189901578268096,1.6512434613999525,0.078542,13.376672491108875,-5.173754928205796,17.06949,18.030558,16.09903,[-3.6764e-01  6.5304e-02  2.5346e-01  4.1548e+03  4.9990e+00],-0.36764,0.065304,0.25346,4154.8,4.999,K,21.023700203712057
39627757440733074,main,bright,STAR,0,t,3794059867452082048,173.69227454404972,-1.18651896587667,1.5812260514268064,0.075368,-27.571953797332984,-12.307482004752078,16.719381,17.538406,15.820757,[-4.8616e-01  8.2914e-02  2.2601e-01  4.1993e+03  4.9981e+00],-0.48616,0.082914,0.22601,4199.3,4.9981,K,20.980071800058465
39633109955644150,main,bright,STAR,0,t,1348037062797537280,259.66187906971044,41.6977579304763,1.1302513057180783,0.05392,-14.79266831862482,4.75617068605067,17.104155,17.851053,16.261118,[-7.5625e-01  2.8346e-01  2.5791e-01  4.2796e+03  4.8448e+00],-0.75625,0.28346,0.25791,4279.6,4.8448,K,20.961634008124598
39627919839987303,main,bright,STAR,0,t,585567461656398720,140.4102277384205,5.496989663806088,1.192418251312935,0.05704,2.7056570058299645,-1.5948952473105562,16.333513,16.978376,15.563951,[ 5.4568e-02 -5.7451e-02         nan  4.7142e+03  4.9044e+00],0.054568,-0.057451,,4714.2,4.9044,K,20.90494830492523
39627714537194799,main,bright,STAR,0,t,5763000075689974144,136.3197471401609,-3.040783010481988,1.4959005027122712,0.071628,-5.198248828812325,6.592632433240355,16.810553,17.614664,15.945426,[-2.2428e-01  1.3723e-01         nan  4.2297e+03  4.3770e+00],-0.22428,0.13723,,4229.7,4.377,K,20.88429807773875
39627636808355511,main,bright,STAR,0,t,3785406401704275072,171.3363577484105,-6.2279082565405055,1.2734967046561576,0.060987,-7.235303946677329,-10.713310838571893,16.656597,17.43399,15.801787,[-8.8017e-02 -4.7790e-02  1.5109e-01  4.3713e+03  4.8622e+00],-0.088017,-0.04779,0.15109,4371.3,4.8622,K,20.881445302378502
39627739371671744,main,bright,STAR,0,t,3792852706764400896,176.69656107837906,-2.073884077289896,1.07183957482302,0.051355,-22.571111975818337,-5.943651338620936,16.170668,16.598722,15.571733,[-1.1919e+00  4.7335e-01  1.8952e-01  5.2550e+03  4.9695e+00],-1.1919,0.47335,0.18952,5255.0,4.9695,G,20.871182452010906
39627749173758930,main,bright,STAR,0,t,2496113839998136320,40.83281364756572,-1.380055498551331,1.0402815996219617,0.049848,14.512715702366176,-11.047668895035397,16.294159,16.86534,15.581374,[-3.0881e-01  1.0877e-01         nan  4.7163e+03  4.8171e+00],-0.30881,0.10877,,4716.3,4.8171,K,20.869073977330316
39628486582733046,main,bright,STAR,0,t,1282232700623663360,222.86798518016855,30.30708942257528,1.0935199944701404,0.052435,-24.231892243873343,12.467796693167386,16.644545,17.320473,15.855614,[5.2812e-01 7.3901e-02        nan 4.4495e+03 4.7106e+00],0.52812,0.073901,,4449.5,4.7106,K,20.85477247010852
39627713329234933,main,bright,STAR,0,t,3204248467009438848,64.30008393946191,-3.0903164349287127,1.3598051569177512,0.065322,10.278529371613596,-2.8147103622363665,16.746859,17.537275,15.879643,[-3.1950e-02  9.9788e-02         nan  4.3095e+03  4.7329e+00],-0.03195,0.099788,,4309.5,4.7329,K,20.81695534303529
39628011577805132,main,bright,STAR,0,t,4445580121056619776,249.9525859521553,9.234325788170564,1.229273159332792,0.059069,4.863978679219206,-13.989737953126737,16.789557,17.320023,16.110937,[-1.4151e+00  4.4088e-01         nan  4.9504e+03  4.8582e+00],-1.4151,0.44088,,4950.4,4.8582,K,20.810800239259034
39627595096001879,main,bright,STAR,0,t,3580293774557143936,188.20131247410836,-7.962375544825258,1.4088001278206617,0.067884,-21.38068715687178,-6.601396502963141,16.449852,17.220224,15.608907,[-6.3120e-02 -4.4211e-03  1.7065e-01  4.4649e+03  4.8507e+00],-0.06312,-0.0044211,0.17065,4464.9,4.8507,K,20.753051202354925
39627679191797178,main,bright,STAR,0,t,3681059999449353472,186.7097486838969,-4.4270238332585095,1.40375204845569,0.067774,19.831437992532926,-17.4855687025441,16.560171,17.268093,15.741042,[-6.4301e-01  3.0328e-01  2.3228e-01  4.4035e+03  4.6458e+00],-0.64301,0.30328,0.23228,4403.5,4.6458,K,20.712250250179864
